case_id,ack_no,victim_name,fraud_type,amount_stolen,victim_city,victim_lat,victim_lon,timestamp,status
NCRP-2024-1044,1930-20240044,Deepa Nair,APK_SCAM,126484.86,Pune - Bibwewadi (VIT),18.473919,73.853507,2026-08-23T00:54:26.845889,UNDER_PATROL
NCRP-2024-1045,1930-20240045,Sunita Sharma,SEBI_IMPERSONATION,213530.75,Bengaluru - Koramangala,12.939039,77.62639,2026-08-20T13:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1046,1930-20240046,Ananya Banerjee,INVESTMENT_SCAM,895223.74,Bengaluru - Koramangala,12.924052,77.624904,2026-08-19T14:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1047,1930-20240047,Geeta Patel,INVESTMENT_SCAM,306796.16,Delhi - Rohini Sec 7,28.709675,77.094793,2026-08-24T08:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1048,1930-20240048,Vikas Deshmukh,SEBI_IMPERSONATION,108365.1,Pune - Bibwewadi (VIT),18.450764,73.876471,2026-08-25T02:54:26.845889,UNDER_PATROL
NCRP-2024-1049,1930-20240049,Meera Iyer,PHISHING_OTP,199353.23,Pune - Bibwewadi (VIT),18.466508,73.86238,2026-08-19T06:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1050,1930-20240050,Rajesh Narang,APK_SCAM,35856.76,Ahmedabad - SG Highway,23.025293,72.505818,2026-08-20T20:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1051,1930-20240051,Pooja Hegde,DIGITAL_ARREST,619763.02,Hyderabad - Cyberabad,17.447889,78.3839,2026-08-19T15:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1052,1930-20240052,Ananya Banerjee,DIGITAL_ARREST,1106148.13,Ahmedabad - SG Highway,23.019995,72.5118,2026-08-22T09:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1053,1930-20240053,Pooja Hegde,APK_SCAM,106159.9,Delhi - Rohini Sec 7,28.695494,77.105283,2026-08-19T22:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1054,1930-20240054,Kishore Bhatt,PHISHING_OTP,175960.35,Pune - Bibwewadi (VIT),18.454981,73.871359,2026-08-24T11:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1055,1930-20240055,Ramesh Kulkarni,DIGITAL_ARREST,835589.98,Pune - Bibwewadi (VIT),18.467276,73.856896,2026-08-25T03:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1056,1930-20240056,Sunita Sharma,APK_SCAM,202274.83,Hyderabad - Cyberabad,17.461473,78.390739,2026-08-22T04:54:26.845889,UNDER_PATROL
NCRP-2024-1057,1930-20240057,Ananya Banerjee,PHISHING_OTP,205254.88,Hyderabad - Cyberabad,17.447174,78.396447,2026-08-23T18:54:26.845889,UNDER_PATROL
NCRP-2024-1058,1930-20240058,Deepa Nair,PHISHING_OTP,224270.48,Delhi - Rohini Sec 7,28.701326,77.105073,2026-08-20T15:54:26.845889,UNDER_PATROL
NCRP-2024-1059,1930-20240059,Dr. Arvind Joshi,PART_TIME_JOB_FRAUD,221914.97,Delhi - Rohini Sec 7,28.703641,77.099182,2026-08-20T10:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1060,1930-20240060,Geeta Patel,APK_SCAM,87948.24,Mumbai - Andheri West,19.135838,72.814731,2026-08-22T21:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1061,1930-20240061,Kishore Bhatt,INVESTMENT_SCAM,698819.61,Ahmedabad - SG Highway,23.038207,72.511069,2026-08-22T13:54:26.845889,UNDER_PATROL
NCRP-2024-1062,1930-20240062,Dr. Arvind Joshi,PART_TIME_JOB_FRAUD,211261.76,Delhi - Rohini Sec 7,28.712195,77.095224,2026-08-24T13:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1063,1930-20240063,Ramesh Kulkarni,INVESTMENT_SCAM,987542.21,Hyderabad - Cyberabad,17.444043,78.40421,2026-08-27T03:54:26.845889,UNDER_PATROL
NCRP-2024-1064,1930-20240064,Sunita Sharma,INVESTMENT_SCAM,888928.17,Pune - Bibwewadi (VIT),18.467807,73.859677,2026-08-26T17:54:26.845889,UNDER_PATROL
NCRP-2024-1065,1930-20240065,Geeta Patel,DIGITAL_ARREST,525041.46,Bengaluru - Koramangala,12.945746,77.629143,2026-08-22T15:54:26.845889,UNDER_PATROL
NCRP-2024-1066,1930-20240066,Meera Iyer,DIGITAL_ARREST,841170.82,Bengaluru - Koramangala,12.932326,77.625187,2026-08-28T09:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1067,1930-20240067,Pooja Hegde,APK_SCAM,108264.6,Pune - Bibwewadi (VIT),18.471118,73.882111,2026-08-23T07:54:26.845889,UNDER_PATROL
NCRP-2024-1068,1930-20240068,Vikas Deshmukh,APK_SCAM,40094.75,Delhi - Rohini Sec 7,28.716474,77.111407,2026-08-26T07:54:26.845889,UNDER_PATROL
NCRP-2024-1069,1930-20240069,Vikas Deshmukh,APK_SCAM,122909.2,Pune - Bibwewadi (VIT),18.465756,73.868163,2026-08-22T20:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1070,1930-20240070,Sunita Sharma,PHISHING_OTP,199787.47,Delhi - Rohini Sec 7,28.709817,77.103847,2026-08-25T22:54:26.845889,UNDER_PATROL
NCRP-2024-1071,1930-20240071,Rajesh Narang,DIGITAL_ARREST,954558.16,Bengaluru - Koramangala,12.939629,77.633654,2026-08-28T09:54:26.845889,UNDER_PATROL
NCRP-2024-1072,1930-20240072,Rajesh Narang,PHISHING_OTP,230400.33,Mumbai - Andheri West,19.14758,72.827978,2026-08-27T04:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1073,1930-20240073,Vikas Deshmukh,DIGITAL_ARREST,791133.33,Hyderabad - Cyberabad,17.436968,78.392032,2026-08-23T10:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1074,1930-20240074,Vikas Deshmukh,APK_SCAM,40654.98,Pune - Bibwewadi (VIT),18.4712,73.854386,2026-08-24T20:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1075,1930-20240075,Ramesh Kulkarni,DIGITAL_ARREST,271849.77,Hyderabad - Cyberabad,17.45473,78.39086,2026-08-24T21:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1076,1930-20240076,Deepa Nair,SEBI_IMPERSONATION,94112.35,Delhi - Rohini Sec 7,28.694108,77.105678,2026-08-27T19:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1077,1930-20240077,Pooja Hegde,INVESTMENT_SCAM,928957.98,Hyderabad - Cyberabad,17.447722,78.395116,2026-08-24T05:54:26.845889,UNDER_PATROL
NCRP-2024-1078,1930-20240078,Sanjay Singhal,PHISHING_OTP,143670.78,Ahmedabad - SG Highway,23.034442,72.514809,2026-08-24T06:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1079,1930-20240079,Rajesh Narang,PART_TIME_JOB_FRAUD,149167.57,Bengaluru - Koramangala,12.926065,77.613766,2026-08-31T06:54:26.845889,UNDER_PATROL
NCRP-2024-1080,1930-20240080,Dr. Arvind Joshi,PART_TIME_JOB_FRAUD,210188.94,Delhi - Rohini Sec 7,28.700513,77.103113,2026-08-30T11:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1081,1930-20240081,Sanjay Singhal,INVESTMENT_SCAM,308995.97,Pune - Bibwewadi (VIT),18.469382,73.859741,2026-08-30T11:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1082,1930-20240082,Ramesh Kulkarni,SEBI_IMPERSONATION,101298.55,Bengaluru - Koramangala,12.929372,77.639476,2026-08-31T20:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1083,1930-20240083,Ramesh Kulkarni,APK_SCAM,69947.72,Mumbai - Andheri West,19.148639,72.815879,2026-08-26T12:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1084,1930-20240084,Kishore Bhatt,PART_TIME_JOB_FRAUD,177145.47,Mumbai - Andheri West,19.150389,72.814522,2026-08-31T23:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1085,1930-20240085,Vikas Deshmukh,APK_SCAM,59430.58,Delhi - Rohini Sec 7,28.71448,77.105411,2026-08-25T17:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1086,1930-20240086,Vikas Deshmukh,APK_SCAM,140929.15,Pune - Bibwewadi (VIT),18.450448,73.854161,2026-08-29T13:54:26.845889,UNDER_PATROL
NCRP-2024-1087,1930-20240087,Pooja Hegde,PHISHING_OTP,57093.07,Ahmedabad - SG Highway,23.036825,72.52122,2026-08-30T09:54:26.845889,UNDER_PATROL
NCRP-2024-1088,1930-20240088,Ananya Banerjee,DIGITAL_ARREST,322018.99,Mumbai - Andheri West,19.126561,72.838243,2026-09-01T05:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1089,1930-20240089,Pooja Hegde,DIGITAL_ARREST,1034782.47,Delhi - Rohini Sec 7,28.689485,77.103896,2026-08-31T23:54:26.845889,UNDER_PATROL
NCRP-2024-1090,1930-20240090,Meera Iyer,DIGITAL_ARREST,584986.6,Mumbai - Andheri West,19.150082,72.824985,2026-08-27T09:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1091,1930-20240091,Sanjay Singhal,DIGITAL_ARREST,435778.96,Hyderabad - Cyberabad,17.46103,78.378754,2026-08-29T19:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1092,1930-20240092,Sunita Sharma,DIGITAL_ARREST,370465.25,Ahmedabad - SG Highway,23.02442,72.529035,2026-08-27T17:54:26.845889,UNDER_PATROL
NCRP-2024-1093,1930-20240093,Sanjay Singhal,DIGITAL_ARREST,759359.43,Hyderabad - Cyberabad,17.461483,78.380264,2026-08-30T12:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1094,1930-20240094,Pooja Hegde,PHISHING_OTP,198101.91,Mumbai - Andheri West,19.136126,72.842124,2026-08-30T04:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1095,1930-20240095,Sunita Sharma,SEBI_IMPERSONATION,94428.97,Delhi - Rohini Sec 7,28.715379,77.103798,2026-09-03T07:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1096,1930-20240096,Sanjay Singhal,APK_SCAM,134795.1,Ahmedabad - SG Highway,23.019995,72.519351,2026-08-31T20:54:26.845889,UNDER_PATROL
NCRP-2024-1097,1930-20240097,Pooja Hegde,INVESTMENT_SCAM,339676.34,Hyderabad - Cyberabad,17.434735,78.384857,2026-09-03T19:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1098,1930-20240098,Rajesh Narang,PART_TIME_JOB_FRAUD,58693.91,Hyderabad - Cyberabad,17.452539,78.379455,2026-09-03T03:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1099,1930-20240099,Sunita Sharma,APK_SCAM,205462.56,Mumbai - Andheri West,19.131819,72.842373,2026-09-03T16:54:26.845889,UNDER_PATROL
NCRP-2024-1100,1930-20240100,Sunita Sharma,PHISHING_OTP,31953.6,Hyderabad - Cyberabad,17.451705,78.406471,2026-09-02T13:54:26.845889,UNDER_PATROL
NCRP-2024-1101,1930-20240101,Rajesh Narang,APK_SCAM,224490.82,Pune - Bibwewadi (VIT),18.471212,73.8758,2026-09-01T15:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1102,1930-20240102,Geeta Patel,PHISHING_OTP,64386.08,Delhi - Rohini Sec 7,28.702739,77.109866,2026-09-05T02:54:26.845889,UNDER_PATROL
NCRP-2024-1103,1930-20240103,Sanjay Singhal,SEBI_IMPERSONATION,173165.92,Hyderabad - Cyberabad,17.460859,78.392611,2026-08-31T15:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1104,1930-20240104,Ramesh Kulkarni,APK_SCAM,156544.56,Pune - Bibwewadi (VIT),18.478369,73.875028,2026-09-04T14:54:26.845889,UNDER_PATROL
NCRP-2024-1105,1930-20240105,Kishore Bhatt,INVESTMENT_SCAM,1021011.23,Mumbai - Andheri West,19.149246,72.827321,2026-08-31T13:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1106,1930-20240106,Ananya Banerjee,INVESTMENT_SCAM,946913.66,Ahmedabad - SG Highway,23.022473,72.503651,2026-08-31T21:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1107,1930-20240107,Vikas Deshmukh,SEBI_IMPERSONATION,182151.54,Pune - Bibwewadi (VIT),18.45319,73.872574,2026-08-31T01:54:26.845889,UNDER_PATROL
NCRP-2024-1108,1930-20240108,Deepa Nair,SEBI_IMPERSONATION,117796.28,Delhi - Rohini Sec 7,28.707581,77.092654,2026-09-06T04:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1109,1930-20240109,Vikas Deshmukh,DIGITAL_ARREST,896472.52,Bengaluru - Koramangala,12.921239,77.628274,2026-09-03T20:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1110,1930-20240110,Geeta Patel,APK_SCAM,49830.75,Mumbai - Andheri West,19.148928,72.827466,2026-09-04T10:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1111,1930-20240111,Dr. Arvind Joshi,APK_SCAM,66801.18,Mumbai - Andheri West,19.138461,72.828293,2026-09-06T08:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1112,1930-20240112,Vikas Deshmukh,INVESTMENT_SCAM,1148497.61,Hyderabad - Cyberabad,17.448894,78.38674,2026-09-03T07:54:26.845889,UNDER_PATROL
NCRP-2024-1113,1930-20240113,Deepa Nair,PART_TIME_JOB_FRAUD,66074.28,Ahmedabad - SG Highway,23.028285,72.523305,2026-09-03T20:54:26.845889,UNDER_PATROL
NCRP-2024-1114,1930-20240114,Rajesh Narang,PHISHING_OTP,106298.46,Delhi - Rohini Sec 7,28.698001,77.092403,2026-09-05T16:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1115,1930-20240115,Rajesh Narang,SEBI_IMPERSONATION,44667.9,Mumbai - Andheri West,19.139779,72.813616,2026-09-07T07:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1116,1930-20240116,Ananya Banerjee,DIGITAL_ARREST,819715.11,Delhi - Rohini Sec 7,28.718423,77.116963,2026-09-06T22:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1117,1930-20240117,Ramesh Kulkarni,APK_SCAM,69529.75,Bengaluru - Koramangala,12.922479,77.635951,2026-09-05T19:54:26.845889,CASHOUT_OCCURRED
NCRP-2024-1118,1930-20240118,Geeta Patel,PART_TIME_JOB_FRAUD,96008.68,Mumbai - Andheri West,19.150203,72.815804,2026-09-06T07:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1119,1930-20240119,Ramesh Kulkarni,APK_SCAM,91759.73,Bengaluru - Koramangala,12.942691,77.618206,2026-09-05T23:54:26.845889,RESOLVED_FUNDS_FROZEN
NCRP-2024-1120,1930-20240120,Geeta Patel,PHISHING_OTP,176224.56,Ahmedabad - SG Highway,23.033601,72.532345,2026-09-08T11:54:26.845889,RESOLVED_FUNDS_FROZEN
